case_id,scenario_type,difficulty,domain,query,expected_intent,actual_intent,expected_property_ids,actual_property_ids,expected_date_scope,actual_date_scope,expected_write_intent,actual_write_intent,expected_specialists,actual_specialists,expected_tools,actual_tools,expected_human_review,actual_human_review,analysis_complete,unavailable_sources,overall_status,workflow_error_count,final_response,routing_accuracy,required_fact_recall,operational_decision_accuracy,specialist_recall,specialist_precision,tool_recall,tool_precision,trajectory_pass,human_review_correct,failure_recovery_pass,unauthorized_write,write_executed,forbidden_claim_violation_count,needs_human_or_llm_review,failed_checks,latency_ms,langsmith_trace_id,case_pass
STAY-001,happy_path,easy,booking,Who is checking in tomorrow?,booking_operations,booking_operations,[],[],2026-09-03,2026-09-03,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,"2 arrivals are scheduled on Sep 3.

- **Downtown Suite** — Jaime Lark, 3:00 PM, 2 guests
- **Sunset House** — Cory Sol, 4:00 PM, 5 guests",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,True,[],55.831,53228224-fa51-48a1-a74e-59e8fa439edb,True
STAY-002,happy_path,easy,booking,Who is checking in today?,booking_operations,booking_operations,[],[],2026-09-02,2026-09-02,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,"1 arrival is scheduled on Sep 2.

- **Garden Cottage** — Sam Wren, 3:00 PM, 2 guests",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,True,[],11.365,b80c2261-4880-43f7-93f5-7eb392f5aad1,True
STAY-003,happy_path,easy,booking,Who is checking out today?,booking_operations,booking_operations,[],[],2026-09-02,2026-09-02,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,"1 arrival is scheduled on Sep 2.

- **Garden Cottage** — Sam Wren, 3:00 PM, 2 guests",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],10.945,c2dada2a-5920-49ad-a6ae-293a046c1472,True
STAY-004,happy_path,easy,booking,Who is checking in on September 5?,booking_operations,booking_operations,[],[],2026-09-05,2026-09-05,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,"2 arrivals are scheduled on Sep 5.

- **Beach Bungalow** — Devon Tide, 3:00 PM, 3 guests
- **Lake House** — Ellis Harbor, 4:00 PM, 4 guests",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],10.971,8ab6fbf6-4b3e-4e37-adb7-b8dc759f110d,True
STAY-005,happy_path,easy,booking,What time does Sasha Metro arrive at Downtown Suite on September 10?,booking_operations,booking_operations,"[""prop_downtown_suite""]","[""prop_downtown_suite""]",2026-09-10,2026-09-10,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,"1 arrival is scheduled on Sep 10.

- **Downtown Suite** — Sasha Metro, 3:00 PM, 2 guests",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],14.157,1d5c7652-5482-4728-878a-b280854e59ca,True
STAY-006,happy_path,medium,booking,When is the next Lake House arrival?,booking_operations,booking_operations,"[""prop_lake_house""]","[""prop_lake_house""]",,,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],watch,0,"3 arrivals are scheduled in the requested period.

- **Lake House** — Jordan Vale, 4:00 PM, 6 guests
- **Lake House** — Ellis Harbor, 4:00 PM, 4 guests
- **Lake House** — Winter Bay, 4:00 PM, 6 guests

### Heads up
- **Lake House** — Same-day departure and arrival on Aug 28.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],12.073,fa1e33ec-6f7a-41e1-ba8b-f9e6d1e95781,True
STAY-007,happy_path,easy,booking,Who is staying at Mountain Retreat on September 2?,booking_operations,booking_operations,"[""prop_mountain_retreat""]","[""prop_mountain_retreat""]",2026-09-02,2026-09-02,False,False,"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",False,False,True,[],ready,0,No guest arrivals are scheduled on Sep 2.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],10.592,67a46925-2e4f-435e-952a-a14d56aa1d3f,True
STAY-008,happy_path,easy,guest,Which City Loft guest message from August 30 still needs a response?,guest_communications,guest_communications,"[""prop_city_loft""]","[""prop_city_loft""]",2026-08-30,2026-08-30,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,False,True,[],watch,0,"1 guest is waiting for a reply on Aug 30.

- **Blake Orbit · City Loft** — Medium urgency. “Could we leave our bags at the loft around 1 PM if the cleaning is finished?” No reply is waiting for approval.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],10.468,dae498b5-14f0-4c5d-8154-568c586eccb3,True
STAY-009,happy_path,easy,guest,Which Downtown Suite guest message from August 30 needs a response?,guest_communications,guest_communications,"[""prop_downtown_suite""]","[""prop_downtown_suite""]",2026-08-30,2026-08-30,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,False,True,[],needs_attention,0,"1 guest is waiting for a reply on Aug 30.

- **Micah Lane · Downtown Suite** — High urgency. “We are nearby but have not received the garage entry instructions yet.” No reply is waiting for approval.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,[],11.326,8cf1d209-9a0e-4031-a485-006a9a554cc8,True
STAY-010,happy_path,easy,guest,Does Ellis Harbor have an unanswered message before the September 5 Lake House arrival?,guest_communications,guest_communications,"[""prop_lake_house""]","[""prop_lake_house""]",2026-09-04,2026-09-04,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,False,True,[],watch,0,"1 guest is waiting for a reply on Sep 4.

- **Ellis Harbor · Lake House** — Medium urgency. “Could you let us know whether the outdoor grill has a full propane tank?” No reply is waiting for approval.",1.0,0.0,0.0,1.0,1.0,1.0,1.0,True,True,,False,False,0,False,"[""required_fact_recall"", ""operational_decision_accuracy""]",9.726,8d8b0033-0c01-4b2a-a77c-f2ae198b0674,False
