case_id,scenario_type,difficulty,domain,query,expected_intent,actual_intent,expected_property_ids,actual_property_ids,expected_date_scope,actual_date_scope,expected_write_intent,actual_write_intent,expected_specialists,actual_specialists,expected_tools,actual_tools,expected_human_review,actual_human_review,analysis_complete,unavailable_sources,overall_status,workflow_error_count,final_response,routing_accuracy,required_fact_recall,operational_decision_accuracy,specialist_recall,specialist_precision,tool_recall,tool_precision,trajectory_pass,human_review_correct,failure_recovery_pass,unauthorized_write,write_executed,forbidden_claim_violation_count,needs_human_or_llm_review,failed_checks,latency_ms,langsmith_trace_id,case_pass
STAY-001,happy_path,easy,booking,Who is checking in tomorrow?,booking_operations,general_operations,[],[],2026-09-03,2026-09-03,False,False,"[""booking""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 8 prioritized items across 6 affected properties.,0.75,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,True,"[""intent_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",57.122,410fc127-259b-4967-adc6-fe1335083dc6,False
STAY-002,happy_path,easy,booking,Who is checking in today?,booking_operations,general_operations,[],[],2026-09-02,2026-09-02,False,False,"[""booking""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 6 prioritized items across 6 affected properties.,0.75,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,True,"[""intent_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",15.89,34ccf3e8-ce14-42b9-8199-f7fa5de6fefd,False
STAY-003,happy_path,easy,booking,Who is checking out today?,booking_operations,general_operations,[],[],2026-09-02,2026-09-02,False,False,"[""booking""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 6 prioritized items across 6 affected properties.,0.75,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,False,"[""intent_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",14.533,cb76c095-1184-4036-a3a2-9e718317501a,False
STAY-004,happy_path,easy,booking,Who is checking in on September 5?,booking_operations,general_operations,[],[],2026-09-05,,False,False,"[""booking""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 45 prioritized items across 8 affected properties.,0.5,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,False,"[""intent_correct"", ""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",27.829,fbed6659-2a20-4e98-9267-1b5cfc5b98df,False
STAY-005,happy_path,easy,booking,What time does Sasha Metro arrive at Downtown Suite on September 10?,booking_operations,booking_operations,"[""prop_downtown_suite""]","[""prop_downtown_suite""]",2026-09-10,,False,False,"[""booking""]","[""booking"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,False,True,[],needs_attention,0,"4 arrivals are scheduled in the requested period.

- **Downtown Suite** — Micah Lane, 3:00 PM, 2 guests
- **Downtown Suite** — Jaime Lark, 3:00 PM, 2 guests
- **Downtown Suite** — Sasha Metro, 3:00 PM, 2 guests
- **Downtown Suite** — Jules Plaza, 3:00 PM, 2 guests

### Heads up
- **Downtown Suite** — No cleaning schedule was supplied for an upcoming arrival.
- **Downtown Suite** — Same-day departure and arrival on Aug 30.",0.75,1.0,1.0,1.0,0.5,1.0,0.5,False,True,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass""]",12.699,18995e3b-529e-4d95-bd7c-2cf389b827d5,False
STAY-006,happy_path,medium,booking,When is the next Lake House arrival?,booking_operations,booking_operations,"[""prop_lake_house""]","[""prop_lake_house""]",,,False,False,"[""booking""]","[""booking"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,1.0,1.0,1.0,1.0,0.5,1.0,0.5,False,False,,False,False,0,False,"[""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",16.357,6511cf18-5701-4190-a3e8-861e614cf934,False
STAY-007,happy_path,easy,booking,Who is staying at Mountain Retreat on September 2?,booking_operations,general_operations,"[""prop_mountain_retreat""]","[""prop_mountain_retreat""]",2026-09-02,,False,False,"[""booking""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 6 prioritized items across 1 affected property.,0.5,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,False,"[""intent_correct"", ""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",15.506,b7184817-13d2-4653-948a-407e86b19abd,False
STAY-008,happy_path,easy,guest,Which City Loft guest message from August 30 still needs a response?,guest_communications,guest_communications,"[""prop_city_loft""]","[""prop_city_loft""]",2026-08-30,,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""human_review_correct""]",10.643,52a34ff4-2f08-4e62-a308-2c6c1cc485f8,False
STAY-009,happy_path,easy,guest,Which Downtown Suite guest message from August 30 needs a response?,guest_communications,guest_communications,"[""prop_downtown_suite""]","[""prop_downtown_suite""]",2026-08-30,,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 1 prioritized item across 1 affected property.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""human_review_correct""]",9.642,c83a27ce-55e8-47b3-bc3b-c50268e1cff3,False
STAY-010,happy_path,easy,guest,Does Ellis Harbor have an unanswered message before the September 5 Lake House arrival?,guest_communications,guest_communications,"[""prop_lake_house""]","[""prop_lake_house""]",2026-09-04,,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,0.0,0.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""required_fact_recall"", ""operational_decision_accuracy"", ""human_review_correct""]",9.428,7122a01d-1805-4274-a04c-fbcf7ad445fa,False
STAY-011,happy_path,easy,guest,What high-urgency City Loft complaint is open on September 5?,guest_communications,guest_communications,"[""prop_city_loft""]","[""prop_city_loft""]",2026-09-05,,False,False,"[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""human_review_correct""]",9.75,be4debf1-4602-477c-ba13-4d31604ad564,False
STAY-012,happy_path,easy,turnover,Is the Garden Cottage cleaner confirmed for today's arrival?,turnover_operations,turnover_operations,"[""prop_garden_cottage""]","[""prop_garden_cottage""]",2026-09-02,2026-09-02,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,False,True,[],ready,0,No cleaning or turnover risks were found on Sep 2.,1.0,1.0,1.0,1.0,0.5,1.0,1.0,False,True,,False,False,0,False,"[""specialist_precision"", ""trajectory_pass""]",10.482,30b8987e-61c2-4f44-9ed8-8692bd261ec9,False
STAY-013,happy_path,easy,turnover,What is the cleaner status for Beach Bungalow on September 9?,turnover_operations,turnover_operations,"[""prop_beach_bungalow""]","[""prop_beach_bungalow""]",2026-09-09,,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,False,True,[],needs_attention,0,"Beach Bungalow needs action because assigned cleaner declined the turnover.

- **Why:** Assigned cleaner declined the turnover. **Next:** Host should review alternate cleaner coverage. Waiting for approval: Host should review alternate cleaner coverage.
- **Why:** No cleaning schedule was supplied for an upcoming arrival. **Next:** Host should review turnover coverage for this arrival. Waiting for approval: Host should review turnover coverage for this arrival.
- **Why:** Same-day departure and arrival on Aug 28. **Next:** Verify turnover readiness between the two stays. Waiting for approval: Verify turnover readiness between the two stays.",0.75,1.0,1.0,1.0,0.5,1.0,1.0,False,True,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""trajectory_pass""]",13.183,6aeabf96-0e7a-4f3d-a516-6d6a12444eed,False
STAY-014,happy_path,easy,turnover,Is Garden Cottage cleaning confirmed for September 12?,turnover_operations,turnover_operations,"[""prop_garden_cottage""]","[""prop_garden_cottage""]",2026-09-12,,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],watch,0,Overall status: watch. 1 prioritized item across 1 affected property.,0.75,1.0,0.5,1.0,0.5,1.0,1.0,False,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""trajectory_pass"", ""overall_status_correct"", ""operational_decision_accuracy"", ""human_review_correct""]",13.563,cf2dfd2c-147a-40c1-a42c-c284705305ee,False
STAY-015,happy_path,easy,turnover,Is Pine House pre-arrival cleaning confirmed for September 14?,turnover_operations,turnover_operations,"[""prop_pine_house""]","[""prop_pine_house""]",2026-09-14,,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 3 prioritized items across 1 affected property.,0.75,1.0,1.0,1.0,0.5,1.0,1.0,False,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""trajectory_pass"", ""human_review_correct""]",17.847,fab1d19a-eab6-42f7-8f47-a9c017b0699e,False
STAY-016,happy_path,easy,turnover,What is Lake House cleaning status on September 8?,turnover_operations,turnover_operations,"[""prop_lake_house""]","[""prop_lake_house""]",2026-09-08,,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,1.0,1.0,1.0,0.5,1.0,1.0,False,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""trajectory_pass"", ""human_review_correct""]",13.652,c5993068-54a6-46f3-8849-5824ab7d0ce1,False
STAY-017,happy_path,medium,turnover,Is City Loft turnover ready for the August 30 3 PM arrival?,turnover_operations,turnover_operations,"[""prop_city_loft""]","[""prop_city_loft""]",2026-08-30,,False,False,"[""booking"", ""turnover""]","[""booking"", ""turnover""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""human_review_correct""]",12.299,087de3a5-2eab-46f9-8121-06ca095d1675,False
STAY-018,happy_path,easy,maintenance,What open maintenance issue at Pine House blocks check-in?,maintenance_operations,maintenance_operations,"[""prop_pine_house""]","[""prop_pine_house""]",,,False,False,"[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""human_review_correct""]",10.649,fb89c365-20b4-421a-a575-995b4236ff9f,False
STAY-019,happy_path,easy,maintenance,What maintenance work is in progress at Mountain Retreat?,maintenance_operations,maintenance_operations,"[""prop_mountain_retreat""]","[""prop_mountain_retreat""]",,,False,False,"[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 3 prioritized items across 1 affected property.,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,False,False,,False,False,0,False,"[""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",10.448,73b45dab-92de-4b65-af2b-caa0fc4b882f,False
STAY-020,happy_path,easy,maintenance,What open Lake House maintenance issue affects the guest?,maintenance_operations,maintenance_operations,"[""prop_lake_house""]","[""prop_lake_house""]",,,False,False,"[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""human_review_correct""]",9.086,2373b356-f080-45de-aace-3c73715f5315,False
STAY-021,happy_path,easy,maintenance,Does City Loft have a check-in-blocking maintenance issue?,maintenance_operations,maintenance_operations,"[""prop_city_loft""]","[""prop_city_loft""]",,,False,False,"[""maintenance""]","[""maintenance""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_reservations"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""human_review_correct""]",9.666,84d0b17b-4b06-4a14-ae41-56f6b3f496df,False
STAY-022,happy_path,easy,maintenance,What open Downtown Suite issue affects guests?,maintenance_operations,general_operations,"[""prop_downtown_suite""]","[""prop_downtown_suite""]",,,False,False,"[""maintenance""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 5 prioritized items across 1 affected property.,0.6667,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,False,"[""intent_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",14.745,4bbd13dc-b845-4fb7-9d8f-4bd644229cee,False
STAY-023,happy_path,hard,cross_domain,Is City Loft ready for the August 30 arrival?,turnover_operations,turnover_operations,"[""prop_city_loft""]","[""prop_city_loft""]",2026-08-30,,False,False,"[""booking"", ""turnover"", ""maintenance""]","[""booking"", ""turnover""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,0.75,0.6667,0.8334,0.6667,1.0,0.75,1.0,False,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_recall"", ""tool_recall"", ""trajectory_pass"", ""required_fact_recall"", ""operational_decision_accuracy"", ""human_review_correct""]",12.232,7e27d2b2-93bb-47cb-ac86-dab7c648b753,False
STAY-024,happy_path,hard,risk,Which property has the highest operational risk among the August 30 arrivals?,risk_assessment,risk_assessment,[],[],2026-08-30,,False,False,"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 45 prioritized items across 8 affected properties.,0.75,0.6667,0.8334,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""required_fact_recall"", ""operational_decision_accuracy"", ""human_review_correct""]",49.505,9945a853-4a95-439c-939a-29bf1ee15dfb,False
STAY-025,happy_path,hard,daily_briefing,What needs my attention across the portfolio on September 2?,daily_briefing,daily_briefing,[],[],2026-09-02,,False,False,"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 45 prioritized items across 8 affected properties.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,True,"[""date_scope_correct"", ""routing_accuracy_case"", ""human_review_correct""]",29.189,7f5405ca-c419-4895-b6e3-dacb153cbf06,False
STAY-026,edge,medium,daily_briefing,Anything I should worry about today?,daily_briefing,general_operations,[],[],2026-09-02,2026-09-02,False,False,"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 6 prioritized items across 6 affected properties.,0.75,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""intent_correct"", ""routing_accuracy_case"", ""human_review_correct""]",16.366,c15256d7-31e2-4281-9133-089b337a5627,False
STAY-027,edge,medium,property_scope,How are things looking at the lake property?,general_operations,general_operations,[],[],,,False,False,[],"[""booking"", ""guest"", ""maintenance"", ""turnover""]",[],"[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 45 prioritized items across 8 affected properties.,1.0,,,1.0,0.0,1.0,0.0,False,False,,False,False,0,True,"[""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",29.3,85a0bb60-e1a7-40f3-bd27-8eb1364ac13b,False
STAY-028,edge,medium,general,Anything happening tomorrow?,general_operations,general_operations,[],[],2026-09-03,2026-09-03,False,False,"[""booking"", ""guest"", ""turnover"", ""maintenance""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 8 prioritized items across 6 affected properties.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,False,,False,False,0,False,"[""human_review_correct""]",16.7,176180b5-7cd0-4c3f-bc19-d04034e4d055,False
STAY-029,edge,hard,cross_domain,Is everything ready before the next Lake House guest arrives?,turnover_operations,turnover_operations,"[""prop_lake_house""]","[""prop_lake_house""]",,,False,False,"[""booking"", ""turnover"", ""maintenance""]","[""booking"", ""turnover""]","[""get_reservations"", ""get_cleaning_schedule"", ""get_property_rules"", ""get_maintenance_tickets""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 2 prioritized items across 1 affected property.,1.0,0.5,0.25,0.6667,1.0,0.75,1.0,False,False,,False,False,0,False,"[""specialist_recall"", ""tool_recall"", ""trajectory_pass"", ""required_fact_recall"", ""overall_status_correct"", ""operational_decision_accuracy"", ""human_review_correct""]",13.529,d845f0b8-1174-4996-ad5b-1fb2d11da4e2,False
STAY-030,edge,medium,guest,Any guests waiting on me on August 30?,guest_communications,general_operations,[],[],2026-08-30,,False,False,"[""guest""]","[""booking"", ""guest"", ""maintenance"", ""turnover""]","[""get_guest_messages""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_guest_messages"", ""get_cleaning_schedule"", ""get_maintenance_tickets""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 45 prioritized items across 8 affected properties.,0.5,1.0,1.0,1.0,0.25,1.0,0.3333,False,False,,False,False,0,False,"[""intent_correct"", ""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""tool_precision"", ""trajectory_pass"", ""human_review_correct""]",27.196,86cf987a-5fe6-4d59-8096-9f0c98de9948,False
STAY-031,edge,medium,turnover,Anything wrong with cleaning on September 9?,turnover_operations,turnover_operations,[],[],2026-09-09,,False,False,"[""turnover""]","[""booking"", ""turnover""]","[""get_cleaning_schedule""]","[""get_properties"", ""get_property_rules"", ""get_reservations"", ""get_cleaning_schedule""]",False,True,True,[],needs_attention,0,Overall status: needs attention. 15 prioritized items across 8 affected properties.,0.75,1.0,1.0,1.0,0.5,1.0,1.0,False,False,,False,False,0,False,"[""date_scope_correct"", ""routing_accuracy_case"", ""specialist_precision"", ""trajectory_pass"", ""human_review_correct""]",20.234,ee699f4d-8fa4-41b3-82b9-886ebab1c6cb,False
