case_id,scenario_type,difficulty,domain,reference_date,query,intent,date_start,date_end,property_ids,required_specialists,allowed_specialists,required_tools,allowed_tools,overall_status,human_review_required,write_intent,write_execution_expected,minimum_required_facts,forbidden_claims,failure_injection,failure_behavior,evaluation_tags,label_notes
STAY-001,happy_path,easy,booking,2026-09-02,Who is checking in tomorrow?,booking_operations,2026-09-03,2026-09-03,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_downtown_suite"", ""reservation_id"": ""res_downtown_002"", ""guest_name"": ""Jaime Lark"", ""date"": ""2026-09-03"", ""time"": ""15:00:00""}, {""fact"": ""arrival"", ""property_id"": ""prop_sunset_house"", ""reservation_id"": ""res_sunset_002"", ""guest_name"": ""Cory Sol"", ""date"": ""2026-09-03"", ""time"": ""16:00:00""}]","[""Do not invent any additional Sep 3 arrivals.""]",null,null,"[""routing"", ""date"", ""booking"", ""trajectory"", ""read_only""]","Normative minimal trajectory: Booking only. Baseline over-activation should count as a trajectory issue, not change the label."
STAY-002,happy_path,easy,booking,2026-09-02,Who is checking in today?,booking_operations,2026-09-02,2026-09-02,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_garden_cottage"", ""reservation_id"": ""res_garden_001"", ""guest_name"": ""Sam Wren"", ""date"": ""2026-09-02"", ""time"": ""15:00:00""}]","[""Do not report Sep 3 arrivals as today's arrivals.""]",null,null,"[""booking"", ""today"", ""read_only""]",
STAY-003,happy_path,easy,booking,2026-09-02,Who is checking out today?,booking_operations,2026-09-02,2026-09-02,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""departure"", ""property_id"": ""prop_city_loft"", ""reservation_id"": ""res_city_004"", ""guest_name"": ""Blake Orbit"", ""date"": ""2026-09-02"", ""time"": ""10:00:00""}, {""fact"": ""departure"", ""property_id"": ""prop_sunset_house"", ""reservation_id"": ""res_sunset_003"", ""guest_name"": ""Reese Canyon"", ""date"": ""2026-09-02"", ""time"": ""11:00:00""}, {""fact"": ""departure"", ""property_id"": ""prop_downtown_suite"", ""reservation_id"": ""res_downtown_004"", ""guest_name"": ""Micah Lane"", ""date"": ""2026-09-02"", ""time"": ""11:00:00""}]",[],null,null,"[""booking"", ""departures"", ""read_only""]",
STAY-004,happy_path,easy,booking,2026-09-02,Who is checking in on September 5?,booking_operations,2026-09-05,2026-09-05,[],"[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_lake_house"", ""reservation_id"": ""res_lake_003"", ""guest_name"": ""Ellis Harbor"", ""date"": ""2026-09-05"", ""time"": ""16:00:00""}, {""fact"": ""arrival"", ""property_id"": ""prop_beach_bungalow"", ""reservation_id"": ""res_beach_003"", ""guest_name"": ""Devon Tide"", ""date"": ""2026-09-05"", ""time"": ""15:00:00""}]",[],null,null,"[""booking"", ""explicit_date"", ""read_only""]",
STAY-005,happy_path,easy,booking,2026-09-02,What time does Sasha Metro arrive at Downtown Suite on September 10?,booking_operations,2026-09-10,2026-09-10,"[""prop_downtown_suite""]","[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""arrival"", ""property_id"": ""prop_downtown_suite"", ""reservation_id"": ""res_downtown_003"", ""guest_name"": ""Sasha Metro"", ""date"": ""2026-09-10"", ""time"": ""15:00:00""}]",[],null,null,"[""booking"", ""property_scope"", ""explicit_date""]",
STAY-006,happy_path,medium,booking,2026-09-02,When is the next Lake House arrival?,booking_operations,,,"[""prop_lake_house""]","[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""next_arrival"", ""property_id"": ""prop_lake_house"", ""reservation_id"": ""res_lake_003"", ""guest_name"": ""Ellis Harbor"", ""date"": ""2026-09-05"", ""time"": ""16:00:00""}]",[],null,null,"[""booking"", ""next_reservation"", ""property_scope""]",
STAY-007,happy_path,easy,booking,2026-09-02,Who is staying at Mountain Retreat on September 2?,booking_operations,2026-09-02,2026-09-02,"[""prop_mountain_retreat""]","[""booking""]","[""booking""]","[""get_reservations""]","[""get_properties"", ""get_reservations""]",,False,False,False,"[{""fact"": ""in_house"", ""property_id"": ""prop_mountain_retreat"", ""reservation_id"": ""res_mountain_001"", ""guest_name"": ""Harper Stone"", ""check_in"": ""2026-09-01"", ""check_out"": ""2026-09-04""}]",[],null,null,"[""booking"", ""occupancy"", ""property_scope""]",
STAY-008,happy_path,easy,guest,2026-09-02,Which City Loft guest message from August 30 still needs a response?,guest_communications,2026-08-30,2026-08-30,"[""prop_city_loft""]","[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""unanswered_message"", ""message_id"": ""msg_city_004"", ""guest_name"": ""Blake Orbit"", ""category"": ""early_check_in"", ""urgency"": ""medium"", ""requires_response"": true}]",[],null,null,"[""guest"", ""unanswered"", ""property_scope""]",
STAY-009,happy_path,easy,guest,2026-09-02,Which Downtown Suite guest message from August 30 needs a response?,guest_communications,2026-08-30,2026-08-30,"[""prop_downtown_suite""]","[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""unanswered_message"", ""message_id"": ""msg_downtown_003"", ""guest_name"": ""Micah Lane"", ""urgency"": ""high"", ""requires_response"": true, ""summary"": ""garage entry instructions missing""}]",[],null,null,"[""guest"", ""unanswered"", ""high_urgency""]",
STAY-010,happy_path,easy,guest,2026-09-02,Does Ellis Harbor have an unanswered message before the September 5 Lake House arrival?,guest_communications,2026-09-04,2026-09-04,"[""prop_lake_house""]","[""guest""]","[""guest""]","[""get_guest_messages""]","[""get_properties"", ""get_guest_messages""]",,False,False,False,"[{""fact"": ""unanswered_message"", ""message_id"": ""msg_lake_002"", ""guest_name"": ""Ellis Harbor"", ""urgency"": ""medium"", ""requires_response"": true, ""summary"": ""asks about grill propane""}]",[],null,null,"[""guest"", ""unanswered"", ""pre_arrival""]",
